serial_number,activity_date,name,score,grade,facility_address,facility_zip,owner_id,owner_name,pe_description,risk_level
DAQXUXTXW,12/13/2017,BISTRO ON THE BOULEVARD,90,,3424 WILSHIRE BLVD,90010,OW0007785,"CHOI, KYONG C",RESTAURANT (31-60) SEATS HIGH RISK,HIGH
DAYORQBKV,12/13/2017,SAN SAI JAPANESE GRILL WSTWD,90,,10904 LINDBROOK DR,90024,OW0017493,JC FRIENDS INC,RESTAURANT (31-60) SEATS HIGH RISK,HIGH
DAMP0YL76,12/13/2017,BERLIN CURRYWURST,91,,317 S BROADWAY ST #C1/2,90013,OW0004459,BERLIN CURRYWURST LLC,RESTAURANT (0-30) SEATS MODERATE RISK,MODERATE
DA4BSDPGU,12/13/2017,SUBWAY #12481,91,,7353 MELROSE AVE,90046,OW0013263,"TRYAN, INC.",RESTAURANT (0-30) SEATS MODERATE RISK,MODERATE
DADVZMTBO,12/13/2017,MOO BONG RI,91,,1300 S SAN PEDRO ST STE 201,90015,OW0018537,KATANNAH INC.,RESTAURANT (31-60) SEATS HIGH RISK,HIGH
DARNOFQLR,12/13/2017,CAFE DAHAB,91,,1638 SAWTELLE BLVD,90025,OW0005098,"BOULES, INC",RESTAURANT (61-150) SEATS HIGH RISK,HIGH
DAIXNRR2T,12/13/2017,CA SUSHI TERIYAKI,91,,215 S MEDNIK AVE,90022,OW0009300,DABEE CORPORATION,RESTAURANT (0-30) SEATS HIGH RISK,HIGH
DACBSRZL8,12/13/2017,MEIZHOU DONGPO,91,,10250 SANTA MONICA BLVD #200A,90067,OW0101849,"AMERICAN MEIZHOU DONGPO, INC.",RESTAURANT (61-150) SEATS HIGH RISK,HIGH
DAYQONDM3,12/13/2017,ARCLIGHT CINEMAS,91,,6360 W SUNSET BLVD,90028,OW0027140,PACIFIC THEATERS EXHIBITION CORP,RESTAURANT (151 + ) SEATS HIGH RISK,HIGH
DAKNCPBAG,12/13/2017,THAI OCEAN RESTAURANT,91,,747 S VERMONT AVE,90005,OW0029145,"PUNYANIRAN, PHAVEENA",RESTAURANT (31-60) SEATS HIGH RISK,HIGH
DA5AMGFKT,12/13/2017,7-ELEVEN,91,,5076 W SUNSET BLVD,90027,OW0015469,H-H & S ENTERPRISES INC,"FOOD MKT RETAIL (2,000+ SF) LOW RISK",LOW
DA7BGBAO8,12/13/2017,CALIFORNIA PITA,91,,201 N LOS ANGELES ST STE 9,90012,OW0009514,"DAVOOD, SHAHROKH",RESTAURANT (61-150) SEATS MODERATE RISK,MODERATE
DAHZHEWJS,12/13/2017,PANERA BREAD,91,,1101 WESTWOOD BLVD # 1145,90024,OW0208857,FIRST PICK BREAD COMPANY  X LP,RESTAURANT (31-60) SEATS HIGH RISK,HIGH
DAAPC8QOY,12/13/2017,LIVE BASIL PIZZA-SMASH BURGER-TOM'S URBAN,92,,1011 S FIGUEROA ST B101 -B201,90015,OW0107361,URBAN 24 LA LLC,RESTAURANT (61-150) SEATS HIGH RISK,HIGH
DAV8CBO3S,12/13/2017,AMAPOLA DELI & MARKET,92,,7223 S COMPTON AVE,90001,OW0020273,LA AMAPOLA INC.,RESTAURANT (0-30) SEATS MODERATE RISK,MODERATE
DAYYXUWDC,12/13/2017,SMITTEN ICE CREAM,92,,10250 SANTA MONICA BLVD # 9190,90067,OW0185354,"SMITTEN VENTURES, INC",RESTAURANT (0-30) SEATS LOW RISK,LOW
DAX9KSJWV,12/13/2017,PROSPECT & GOURMANDE,92,,272 S LA CIENGA BLVD,90211,OW0129953,"PROSPECT & GOURMANDE, INC.",RESTAURANT (31-60) SEATS HIGH RISK,HIGH
DAXGPMZNF,12/13/2017,CLARK STREET BREAD,92,,317 S BROADWAY # F-3,90013,OW0239304,"CLARK STREET BREAD , LLC",RESTAURANT (0-30) SEATS MODERATE RISK,MODERATE
DAALHI5KJ,12/13/2017,W HOTEL LOS ANGELES/WESTWOOD,92,,930 HILGARD AVE,90024-3033,OW0024544,"MINERS LESSEE, LLC",RESTAURANT (61-150) SEATS HIGH RISK,HIGH
